Disease,Description,Total_Symptoms,All_Symptoms,Symptom_1,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Average_Symptom_Weight,Max_Symptom_Weight,Min_Symptom_Weight,Symptom_10_Weight,Symptom_11_Weight,Symptom_12_Weight,Symptom_13_Weight,Symptom_14_Weight,Symptom_15_Weight,Symptom_16_Weight,Symptom_17_Weight,Symptom_1_Weight,Symptom_2_Weight,Symptom_3_Weight,Symptom_4_Weight,Symptom_5_Weight,Symptom_6_Weight,Symptom_7_Weight,Symptom_8_Weight,Symptom_9_Weight,Total_Symptom_Weight,Average_Symptom_Weight,Max_Symptom_Weight,Min_Symptom_Weight,Total_Symptom_Weight,Weight_Std,All_Precautions,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",4,"itching, skin_rash, nodal_skin_eruptions, dischromic _patches",itching,,,,,,,,,skin_rash,nodal_skin_eruptions,dischromic _patches,,,,,,2.6666666666666665,4.0,1.0,,,,,,,,,1,3.0,4.0,,,,,,,8.0,2.6666666666666665,4.0,1.0,8.0,1.5275252316519465,"bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",3,"skin_rash, nodal_skin_eruptions, dischromic _patches",skin_rash,,,,,,,,,nodal_skin_eruptions,dischromic _patches,,,,,,,3.5,4.0,3.0,,,,,,,,,3,4.0,,,,,,,,7.0,3.5,4.0,3.0,7.0,0.7071067811865476,"bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",3,"itching, nodal_skin_eruptions, dischromic _patches",itching,,,,,,,,,nodal_skin_eruptions,dischromic _patches,,,,,,,2.5,4.0,1.0,,,,,,,,,1,4.0,,,,,,,,5.0,2.5,4.0,1.0,5.0,2.1213203435596424,"bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",3,"itching, skin_rash, dischromic _patches",itching,,,,,,,,,skin_rash,dischromic _patches,,,,,,,2.0,3.0,1.0,,,,,,,,,1,3.0,,,,,,,,4.0,2.0,3.0,1.0,4.0,1.4142135623730951,"bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",3,"itching, skin_rash, nodal_skin_eruptions",itching,,,,,,,,,skin_rash,nodal_skin_eruptions,,,,,,,2.6666666666666665,4.0,1.0,,,,,,,,,1,3.0,4.0,,,,,,,8.0,2.6666666666666665,4.0,1.0,8.0,1.5275252316519465,"bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",3,"skin_rash, nodal_skin_eruptions, dischromic _patches",skin_rash,,,,,,,,,nodal_skin_eruptions,dischromic _patches,,,,,,,3.5,4.0,3.0,,,,,,,,,3,4.0,,,,,,,,7.0,3.5,4.0,3.0,7.0,0.7071067811865476,"bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",3,"itching, nodal_skin_eruptions, dischromic _patches",itching,,,,,,,,,nodal_skin_eruptions,dischromic _patches,,,,,,,2.5,4.0,1.0,,,,,,,,,1,4.0,,,,,,,,5.0,2.5,4.0,1.0,5.0,2.1213203435596424,"bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",3,"itching, skin_rash, dischromic _patches",itching,,,,,,,,,skin_rash,dischromic _patches,,,,,,,2.0,3.0,1.0,,,,,,,,,1,3.0,,,,,,,,4.0,2.0,3.0,1.0,4.0,1.4142135623730951,"bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",3,"itching, skin_rash, nodal_skin_eruptions",itching,,,,,,,,,skin_rash,nodal_skin_eruptions,,,,,,,2.6666666666666665,4.0,1.0,,,,,,,,,1,3.0,4.0,,,,,,,8.0,2.6666666666666665,4.0,1.0,8.0,1.5275252316519465,"bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Fungal infection,"In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.",4,"itching, skin_rash, nodal_skin_eruptions, dischromic _patches",itching,,,,,,,,,skin_rash,nodal_skin_eruptions,dischromic _patches,,,,,,2.6666666666666665,4.0,1.0,,,,,,,,,1,3.0,4.0,,,,,,,8.0,2.6666666666666665,4.0,1.0,8.0,1.5275252316519465,"bath twice, use detol or neem in bathing water, keep infected area dry, use clean cloths",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",4,"continuous_sneezing, shivering, chills, watering_from_eyes",continuous_sneezing,,,,,,,,,shivering,chills,watering_from_eyes,,,,,,4.0,5.0,3.0,,,,,,,,,4,5.0,3.0,4.0,,,,,,16.0,4.0,5.0,3.0,16.0,0.816496580927726,"apply calamine, cover area with bandage, use ice to compress itching",apply calamine,cover area with bandage,,use ice to compress itching
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",3,"shivering, chills, watering_from_eyes",shivering,,,,,,,,,chills,watering_from_eyes,,,,,,,4.0,5.0,3.0,,,,,,,,,5,3.0,4.0,,,,,,,12.0,4.0,5.0,3.0,12.0,1.0,"apply calamine, cover area with bandage, use ice to compress itching",apply calamine,cover area with bandage,,use ice to compress itching
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",3,"continuous_sneezing, chills, watering_from_eyes",continuous_sneezing,,,,,,,,,chills,watering_from_eyes,,,,,,,3.6666666666666665,4.0,3.0,,,,,,,,,4,3.0,4.0,,,,,,,11.0,3.6666666666666665,4.0,3.0,11.0,0.5773502691896258,"apply calamine, cover area with bandage, use ice to compress itching",apply calamine,cover area with bandage,,use ice to compress itching
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",3,"continuous_sneezing, shivering, watering_from_eyes",continuous_sneezing,,,,,,,,,shivering,watering_from_eyes,,,,,,,4.333333333333333,5.0,4.0,,,,,,,,,4,5.0,4.0,,,,,,,13.0,4.333333333333333,5.0,4.0,13.0,0.5773502691896258,"apply calamine, cover area with bandage, use ice to compress itching",apply calamine,cover area with bandage,,use ice to compress itching
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",3,"continuous_sneezing, shivering, chills",continuous_sneezing,,,,,,,,,shivering,chills,,,,,,,4.0,5.0,3.0,,,,,,,,,4,5.0,3.0,,,,,,,12.0,4.0,5.0,3.0,12.0,1.0,"apply calamine, cover area with bandage, use ice to compress itching",apply calamine,cover area with bandage,,use ice to compress itching
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",3,"shivering, chills, watering_from_eyes",shivering,,,,,,,,,chills,watering_from_eyes,,,,,,,4.0,5.0,3.0,,,,,,,,,5,3.0,4.0,,,,,,,12.0,4.0,5.0,3.0,12.0,1.0,"apply calamine, cover area with bandage, use ice to compress itching",apply calamine,cover area with bandage,,use ice to compress itching
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",3,"continuous_sneezing, chills, watering_from_eyes",continuous_sneezing,,,,,,,,,chills,watering_from_eyes,,,,,,,3.6666666666666665,4.0,3.0,,,,,,,,,4,3.0,4.0,,,,,,,11.0,3.6666666666666665,4.0,3.0,11.0,0.5773502691896258,"apply calamine, cover area with bandage, use ice to compress itching",apply calamine,cover area with bandage,,use ice to compress itching
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",3,"continuous_sneezing, shivering, watering_from_eyes",continuous_sneezing,,,,,,,,,shivering,watering_from_eyes,,,,,,,4.333333333333333,5.0,4.0,,,,,,,,,4,5.0,4.0,,,,,,,13.0,4.333333333333333,5.0,4.0,13.0,0.5773502691896258,"apply calamine, cover area with bandage, use ice to compress itching",apply calamine,cover area with bandage,,use ice to compress itching
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",3,"continuous_sneezing, shivering, chills",continuous_sneezing,,,,,,,,,shivering,chills,,,,,,,4.0,5.0,3.0,,,,,,,,,4,5.0,3.0,,,,,,,12.0,4.0,5.0,3.0,12.0,1.0,"apply calamine, cover area with bandage, use ice to compress itching",apply calamine,cover area with bandage,,use ice to compress itching
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",4,"continuous_sneezing, shivering, chills, watering_from_eyes",continuous_sneezing,,,,,,,,,shivering,chills,watering_from_eyes,,,,,,4.0,5.0,3.0,,,,,,,,,4,5.0,3.0,4.0,,,,,,16.0,4.0,5.0,3.0,16.0,0.816496580927726,"apply calamine, cover area with bandage, use ice to compress itching",apply calamine,cover area with bandage,,use ice to compress itching
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",6,"stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain",stomach_pain,,,,,,,,,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,,,,4.666666666666667,7.0,3.0,,,,,,,,,5,3.0,4.0,5.0,4.0,7.0,,,,28.0,4.666666666666667,7.0,3.0,28.0,1.3662601021279464,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",5,"stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain",stomach_pain,,,,,,,,,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,5.0,7.0,4.0,,,,,,,,,5,4.0,5.0,4.0,7.0,,,,,25.0,5.0,7.0,4.0,25.0,1.224744871391589,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",5,"stomach_pain, acidity, vomiting, cough, chest_pain",stomach_pain,,,,,,,,,acidity,vomiting,cough,chest_pain,,,,,4.8,7.0,3.0,,,,,,,,,5,3.0,5.0,4.0,7.0,,,,,24.0,4.8,7.0,3.0,24.0,1.4832396974191326,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",5,"stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain",stomach_pain,,,,,,,,,acidity,ulcers_on_tongue,cough,chest_pain,,,,,4.6,7.0,3.0,,,,,,,,,5,3.0,4.0,4.0,7.0,,,,,23.0,4.6,7.0,3.0,23.0,1.51657508881031,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",5,"stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain",stomach_pain,,,,,,,,,acidity,ulcers_on_tongue,vomiting,chest_pain,,,,,4.8,7.0,3.0,,,,,,,,,5,3.0,4.0,5.0,7.0,,,,,24.0,4.8,7.0,3.0,24.0,1.4832396974191326,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",5,"stomach_pain, acidity, ulcers_on_tongue, vomiting, cough",stomach_pain,,,,,,,,,acidity,ulcers_on_tongue,vomiting,cough,,,,,4.2,5.0,3.0,,,,,,,,,5,3.0,4.0,5.0,4.0,,,,,21.0,4.2,5.0,3.0,21.0,0.8366600265340756,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",5,"acidity, ulcers_on_tongue, vomiting, cough, chest_pain",acidity,,,,,,,,,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,4.6,7.0,3.0,,,,,,,,,3,4.0,5.0,4.0,7.0,,,,,23.0,4.6,7.0,3.0,23.0,1.51657508881031,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",5,"stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain",stomach_pain,,,,,,,,,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,5.0,7.0,4.0,,,,,,,,,5,4.0,5.0,4.0,7.0,,,,,25.0,5.0,7.0,4.0,25.0,1.224744871391589,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",5,"stomach_pain, acidity, vomiting, cough, chest_pain",stomach_pain,,,,,,,,,acidity,vomiting,cough,chest_pain,,,,,4.8,7.0,3.0,,,,,,,,,5,3.0,5.0,4.0,7.0,,,,,24.0,4.8,7.0,3.0,24.0,1.4832396974191326,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
GERD,"Gastroesophageal reflux disease, or GERD, is a digestive disorder that affects the lower esophageal sphincter (LES), the ring of muscle between the esophagus and stomach. Many people, including pregnant women, suffer from heartburn or acid indigestion caused by GERD.",5,"stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain",stomach_pain,,,,,,,,,acidity,ulcers_on_tongue,cough,chest_pain,,,,,4.6,7.0,3.0,,,,,,,,,5,3.0,4.0,4.0,7.0,,,,,23.0,4.6,7.0,3.0,23.0,1.51657508881031,"avoid fatty spicy food, avoid lying down after eating, maintain healthy weight, exercise",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise
